#height[m], Uprec[m/s], Uturb[m/s], diff[m/s], plane_dist[D]
310.0 9.674971380970726 9.654323106203194 0.020648274767532726 -32
320.0 9.67999790536389 9.661402430195128 0.018595475168762476 -32
330.0 9.687199234561804 9.672916802402263 0.014282432159541614 -32
340.0 9.689934849454387 9.680194446157461 0.009740403296925493 -32
350.0 9.697725062199051 9.689104339787443 0.008620722411608384 -32
360.0 9.703518292877105 9.69545995032336 0.00805834255374549 -32
370.0 9.710698985503168 9.70565581328818 0.0050431722149877345 -32
380.0 9.715153762357234 9.71239333431044 0.0027604280467947717 -32
390.0 9.722988652832719 9.718916002792906 0.004072650039812942 -32
400.0 9.728181086212965 9.721989302094801 0.006191784118163568 -32
410.0 9.734761503631548 9.728126001208695 0.006635502422852824 -32
420.0 9.736496965335768 9.731070049983543 0.005426915352224171 -32
430.0 9.743238699419548 9.738273916241425 0.004964783178122545 -32
440.0 9.745425405947445 9.741360914051034 0.0040644918964112264 -32
450.0 9.75075107296011 9.747162942124682 0.003588130835428416 -32
460.0 9.755930675581453 9.752558839976459 0.003371835604994544 -32
470.0 9.760506329413003 9.758426475898647 0.0020798535143562447 -32
480.0 9.761712153565732 9.758996241825262 0.002715911740470034 -32
490.0 9.766962934639723 9.76266787053293 0.004295064106793589 -32
500.0 9.767320808495183 9.764387534840607 0.002933273654576851 -32
0.0 3.353124302322933 3.3069802158641632 0.046144086458769884 -20
10.0 6.41138446181796 6.367218324387522 0.0441661374304374 -20
20.0 7.70297811866152 7.654090158556082 0.0488879601054375 -20
30.0 8.17961026416391 8.118096270606198 0.061513993557712254 -20
40.0 8.509350154833527 8.444869220496791 0.06448093433673563 -20
50.0 8.706210058201645 8.65279758174861 0.05341247645303504 -20
60.0 8.858799870338185 8.808406686645371 0.05039318369281354 -20
70.0 8.975076579212917 8.93071037294075 0.044366206272167474 -20
80.0 9.066598956828036 9.025965620106886 0.040633336721150215 -20
90.0 9.138188612419142 9.099125840856052 0.03906277156309024 -20
100.0 9.194497541118164 9.168363684670073 0.026133856448090853 -20
110.0 9.242791073736447 9.224032509418576 0.018758564317870707 -20
120.0 9.283049169752285 9.261288870171924 0.021760299580360964 -20
130.0 9.319769441394838 9.299586882226064 0.02018255916877365 -20
140.0 9.350150583653942 9.33199768696664 0.0181528966873028 -20
150.0 9.376826735169697 9.363102011223486 0.01372472394621127 -20
160.0 9.402909846721819 9.385005518524922 0.017904328196896913 -20
170.0 9.429840024305477 9.409023638733478 0.020816385571999163 -20
180.0 9.451467288264434 9.42863494037469 0.022832347889742977 -20
190.0 9.474609909930257 9.452051931250043 0.022557978680213253 -20
200.0 9.497298948047101 9.472206911318397 0.025092036728704414 -20
210.0 9.51865052070493 9.490902729524027 0.027747791180903647 -20
220.0 9.53795408766377 9.508380873334772 0.029573214328998176 -20
230.0 9.557106123354597 9.524191841255282 0.03291428209931446 -20
240.0 9.573593154773679 9.535899011596795 0.0376941431768838 -20
250.0 9.591194628284759 9.550241876696125 0.04095275158863387 -20
260.0 9.600134549807088 9.560550902491684 0.039583647315403425 -20
270.0 9.612198384640587 9.574742865861637 0.03745551877895004 -20
280.0 9.621609815747727 9.585446898744797 0.03616291700292962 -20
290.0 9.632954242455362 9.597521514101107 0.03543272835425526 -20
300.0 9.641567395279244 9.605485391223036 0.036082004056208206 -20
310.0 9.652606514923148 9.615758118948241 0.03684839597490708 -20
320.0 9.660662188974891 9.620558722099268 0.04010346687562283 -20
330.0 9.670888717624244 9.63025855690294 0.040630160721304875 -20
340.0 9.67885865445474 9.639153775191323 0.03970487926341626 -20
350.0 9.690094070875327 9.651106013547697 0.03898805732763044 -20
360.0 9.696728583524605 9.659651202352421 0.03707738117218362 -20
370.0 9.704704323976559 9.666047191458308 0.0386571325182512 -20
380.0 9.709297527938174 9.671065344520256 0.03823218341791801 -20
390.0 9.716943226261535 9.681400279394516 0.03554294686701809 -20
400.0 9.719421203937822 9.68480764400439 0.034613559933431404 -20
410.0 9.724723249799752 9.69217987967382 0.032543370125932114 -20
420.0 9.726359004947492 9.694437674979442 0.03192132996804986 -20
430.0 9.728274923955846 9.698517582051931 0.02975734190391499 -20
440.0 9.725988228560341 9.699628913472027 0.026359315088313906 -20
450.0 9.727867231257065 9.703927736478485 0.023939494778579373 -20
460.0 9.727264584583242 9.707788195933126 0.019476388650115695 -20
470.0 9.732851050204083 9.713457601545162 0.019393448658920676 -20
480.0 9.731203814209236 9.712274674674042 0.01892913953519404 -20
490.0 9.736048145588272 9.716819195118662 0.019228950469610595 -20
500.0 9.734961411087369 9.716336467108428 0.018624943978940323 -20
0.0 2.6827988564566776 2.571312397645847 0.11148645881083041 0
10.0 6.369584610489235 6.093145715897167 0.2764388945920677 0
20.0 7.616245450112083 7.257381517894935 0.3588639322171483 0
30.0 8.08627202136082 7.685390279423764 0.40088174193705584 0
40.0 8.417959669639849 7.990397849113903 0.4275618205259457 0
50.0 8.63140400597223 8.182969060640945 0.4484349453312859 0
60.0 8.798192571561373 8.337378129014725 0.4608144425466474 0
70.0 8.924655798760984 8.458059956534077 0.46659584222690675 0
80.0 9.02863656078788 8.563004799725451 0.4656317610624292 0
90.0 9.114125226108847 8.657348562815695 0.4567766632931516 0
100.0 9.183083356664444 8.743869092216693 0.4392142644477506 0
110.0 9.242682832662403 8.819643878145293 0.4230389545171107 0
120.0 9.291398182831788 8.897587385313722 0.393810797518066 0
130.0 9.334220600399183 8.970904582135123 0.3633160182640598 0
140.0 9.369179762177549 9.039793970047334 0.32938579213021413 0
150.0 9.401367660825079 9.10338204927682 0.297985611548258 0
160.0 9.427670899158976 9.16229912526183 0.2653717738971455 0
170.0 9.45096754315652 9.214456177157038 0.23651136599948153 0
180.0 9.47088929256981 9.260976944884838 0.20991234768497158 0
190.0 9.492876224411559 9.304495457027734 0.18838076738382448 0
200.0 9.512141110588791 9.342459741034272 0.16968136955451918 0
210.0 9.53174509222545 9.378339430811216 0.15340566141423295 0
220.0 9.54761234608197 9.412803650816603 0.13480869526536665 0
230.0 9.560469411238937 9.443314647420488 0.11715476381844958 0
240.0 9.573409635304285 9.470093691844626 0.10331594345965911 0
250.0 9.585478474945708 9.49275776365414 0.09272071129156778 0
260.0 9.59747471521519 9.514723295948395 0.08275141926679552 0
270.0 9.608627588417107 9.536063761567158 0.07256382684994911 0
280.0 9.61869115521143 9.556750074009619 0.06194108120181063 0
290.0 9.630992322283733 9.576672381846958 0.05431994043677513 0
300.0 9.638414243568228 9.594079163747947 0.0443350798202804 0
