# Y/D U V
5.500000000000162537e-01 5.225111608378656847e+00 -1.106195288230325466e-02
6.000000000000165201e-01 5.196970279368121837e+00 -1.119709586033274841e-02
6.500000000000166755e-01 5.176489992823130493e+00 -1.130711195856516985e-02
7.000000000000168310e-01 5.162899807815802156e+00 -1.139169651674008799e-02
7.500000000000169864e-01 5.155499611729007725e+00 -1.144968553587688564e-02
8.000000000000171418e-01 5.153119727167695174e+00 -1.148017761029211138e-02
8.500000000000174083e-01 5.153918053250154507e+00 -1.148166714873228959e-02
9.000000000000175637e-01 5.158234328409378122e+00 -1.145536356614560054e-02
9.500000000000177192e-01 5.167848618467369093e+00 -1.140158476369741020e-02
1.000000000000017986e+00 5.183864822252663984e+00 -1.132070426062732789e-02
1.050000000000018030e+00 5.207077672725501039e+00 -1.121315090462595733e-02
1.100000000000018296e+00 5.237539855905341213e+00 -1.108131323899506915e-02
1.150000000000018341e+00 5.275231860174219634e+00 -1.092685996595202380e-02
1.200000000000018607e+00 5.319834693561467986e+00 -1.075151385174600606e-02
1.250000000000018874e+00 5.370967686562992505e+00 -1.055703988965731380e-02
1.300000000000018918e+00 5.427398069810997150e+00 -1.034652035415537658e-02
1.350000000000019185e+00 5.488152475907980943e+00 -1.012215764137687143e-02
1.400000000000019229e+00 5.552211318490186898e+00 -9.885868683587204983e-03
1.450000000000019496e+00 5.618152186542282323e+00 -9.640036237682982068e-03
1.500000000000019762e+00 5.684593642302816718e+00 -9.387098338612837392e-03
1.550000000000019806e+00 5.750308945997083754e+00 -9.128998904777757203e-03
1.600000000000020073e+00 5.814046069879228007e+00 -8.867518910791268374e-03
1.650000000000020339e+00 5.874716158035095503e+00 -8.604458187689970061e-03
1.700000000000020384e+00 5.931515811337461308e+00 -8.341389370160575203e-03
1.750000000000020650e+00 5.983768011405934395e+00 -8.079739270778586030e-03
1.800000000000020695e+00 6.030887332216086527e+00 -7.820697675829060835e-03
1.850000000000020961e+00 6.072712153374998145e+00 -7.565152598066511580e-03
1.900000000000021227e+00 6.109270758354895747e+00 -7.314166667397363486e-03
1.950000000000021272e+00 6.140711008389636127e+00 -7.068319701528064797e-03
2.000000000000021316e+00 6.167119549620607266e+00 -6.828358676320912118e-03
2.050000000000021583e+00 6.189019291895675678e+00 -6.594614552839881891e-03
2.100000000000021849e+00 6.206927286378872921e+00 -6.367439359673331828e-03
2.150000000000022116e+00 6.221319273192999155e+00 -6.147015972200114281e-03
2.200000000000022382e+00 6.232571982110144404e+00 -5.933822880366852390e-03
2.250000000000022204e+00 6.241299967141506144e+00 -5.727689553117573662e-03
2.300000000000022471e+00 6.247965245759028008e+00 -5.528598171851350010e-03
2.350000000000022737e+00 6.252974232754094253e+00 -5.336592567364281670e-03
2.400000000000023004e+00 6.256613360049626316e+00 -5.151883509146163928e-03
2.450000000000023270e+00 6.259251104226553508e+00 -4.974013103999187085e-03
2.500000000000023093e+00 6.261128396189064915e+00 -4.802831439971547503e-03
2.550000000000023359e+00 6.262439684691791797e+00 -4.638243563936512298e-03
2.600000000000023626e+00 6.263327498320675701e+00 -4.480378676833662172e-03
2.650000000000023892e+00 6.263926274929868754e+00 -4.328660471773878443e-03
2.700000000000024158e+00 6.264325910003766928e+00 -4.183028032824363980e-03
