f,Suu,Svv,Sww
0.318,0.0006582825966945264,0.0007875394325239572,0.0008006460288494347
0.3182,0.000658019616154933,0.0007872605800852276,0.0008003776148510892
0.3184,0.000657756897879957,0.0007869819713676845,0.0008001093948187236
0.3186,0.0006574944414517506,0.0007867036060358857,0.0007998413685843298
0.3188,0.0006572322464533793,0.0007864254837550096,0.0007995735359799307
0.319,0.0006569703124688207,0.0007861476041908555,0.0007993058968375819
0.3192,0.0006567086390829608,0.0007858699670098419,0.0007990384509893708
0.3194,0.0006564472258815919,0.0007855925718790041,0.0007987711982674191
0.3196,0.0006561860724514105,0.0007853154184659945,0.0007985041385038824
0.3198,0.0006559251783800142,0.0007850385064390805,0.0007982372715309527
0.32,0.0006556645432558993,0.0007847618354671414,0.0007979705971808568
0.3202,0.0006554041666684587,0.0007844854052196708,0.0007977041152858597
0.3204,0.0006551440482079788,0.0007842092153667699,0.0007974378256782637
0.3206,0.0006548841874656378,0.0007839332655791517,0.0007971717281904093
0.3208,0.0006546245840335029,0.0007836575555281354,0.0007969058226546777
0.321,0.000654365237504527,0.000783382084885648,0.0007966401089034888
0.3212,0.0006541061474725477,0.0007831068533242198,0.000796374586769305
0.3214,0.0006538473135322844,0.0007828318605169858,0.0007961092560846297
0.3216,0.0006535887352793348,0.0007825571061376834,0.0007958441166820092
0.3218,0.0006533304123101739,0.0007822825898606499,0.0007955791683940335
