f,Suu,Svv,Sww
0.0104,0.0014013691477970903,0.0006225846050602518,0.0002314011725413087
0.0106,0.0019478291011404449,0.0006225464811877234,0.0001829639728813953
0.0108,0.0016134847040490102,0.0005323014294323978,0.00026333107013492695
0.011,0.002296872564403931,0.0005778020579061423,0.00029336025289405796
0.0112,0.0020744719534787803,0.00035588228931836605,0.00023540903350039314
0.0114,0.001245693179123356,0.0006606728087126992,0.00017492466047122477
0.0116,0.0016179539089812142,0.0006343473868496911,0.00019675286981264933
0.0118,0.0015226494726889724,0.0005246282533457791,0.00025442975712381587
0.012,0.0016749772500738124,0.0007476864729274754,0.00028161254113511815
0.0122,0.0014014395010161548,0.0005057842424514557,0.0002808680589720442
0.0124,0.0019425204150930995,0.0005629654661309254,0.00030379382659612007
0.0126,0.0026742752630107146,0.0013168736351017285,0.00032464701066405103
0.0128,0.0018885550434840994,0.00081189206089049,0.00039168235713476807
0.013,0.0012945520939443185,0.0007278686730807709,0.00031227893519433043
0.0132,0.002001302420710408,0.00100543664245264,0.00033377487574893925
0.0134,0.0012449662356219312,0.00078709605268056,0.0003124866028096611
0.0136,0.0013100148770942852,0.0005996243577434788,0.0002867779764133517
0.0138,0.001189366414751667,0.0009987301170587201,0.00033332629179806846
0.014,0.001513756710537341,0.000669405687383819,0.00027589355853759756
0.0142,0.0014119309569208158,0.000818045121591229,0.0003132681725626218
0.0144,0.0015176761609994845,0.0007610920469305673,0.00024807350085226236
0.0146,0.002360531743378405,0.00046969058267707357,0.00028780068308800993
0.0148,0.0017750165949609834,0.0007195099461224184,0.00025267750197099177
0.015,0.0013580978085494077,0.0006291095134542,0.00021596946814117355
0.0152,0.0014132506346811158,0.0007579255977158789,0.0003197935716931599
0.0154,0.001567718866089861,0.0005150796790265418,0.0002636808350593217
0.0156,0.0010392227400308394,0.0015152337394903504,0.000431616792762828
0.0158,0.0015628183218586152,0.00037745816479006723,0.00026369820317791913
0.016,0.0020454023882480648,0.0007325423794337077,0.0004729885463154635
0.0162,0.0022455898906572863,0.0008186874828521643,0.0002822816573000615
0.0164,0.0016489308628295683,0.0010109334826724154,0.0004558030742897976
0.0166,0.0018586039483084692,0.0009425216710939808,0.00023289248577294515
0.0168,0.0016439852736471606,0.0011818768564301806,0.00026263446155171106
0.017,0.0009728667462119827,0.0009405068295753349,0.0003697234428988081
0.0172,0.001494300797991984,0.0011952607480119808,0.00035429968244284207
0.0174,0.0016207867618887712,0.0009882391672125725,0.00037437121166656494
0.0176,0.0007899415643177007,0.0006431649952559804,0.00024262860817400583
0.0178,0.0018399623612873068,0.0008047924756336273,0.0003510006035620908
0.018,0.0016880381946068747,0.00103440278778081,0.0003864366152929676
0.0182,0.0015333134795302856,0.00104479483244164,0.0003030509633985651
0.0184,0.0020086763942685796,0.000549683518708216,0.00032803881984680845
0.0186,0.0015576329765636294,0.000803610644501413,0.00037231719202034233
0.0188,0.0025367435959450764,0.0015252662959680673,0.00040052506478169465
0.019,0.0013427596427095319,0.0008808469224888343,0.00038391972766549056
0.0192,0.00253893899267473,0.000985452716982989,0.0006737108344298146
0.0194,0.0017987126684672083,0.0008117579393388252,0.0004467854344941199
0.0196,0.0015637613027158345,0.0011249737192460681,0.00028881506098546423
0.0198,0.001611102845595474,0.0009350695523618514,0.0003664788357096904
0.02,0.002102775093932945,0.000594909960964148,0.000509112842031352
0.0202,0.0011375852699837844,0.0006499774966505369,0.0004030234311136459
0.0204,0.0020402202235102166,0.000895892471310286,0.0003841810256724244
0.0206,0.0015308679381013737,0.0008485595812698084,0.00026409206390059825
0.0208,0.003581024428837268,0.0007170032760727161,0.0005967340158106417
0.021,0.0018079153712183306,0.0006153299636665673,0.00035554692267998736
0.0212,0.00141341801631024,0.0008168889533651158,0.00030079749628256366
0.0214,0.0013805641019343834,0.0006207185732913389,0.00043402871883069363
0.0216,0.001445518462966265,0.000820923745450906,0.0003588121878420314
0.0218,0.002439925652799782,0.0010508058367439254,0.0004093738006869248
0.022,0.0015627334568382003,0.0010731134570686294,0.0006052600184903754
0.0222,0.001315661554842919,0.0007431326302160946,0.0004807597432892989
0.0224,0.0019460833871278104,0.000982419152375078,0.0003336826168949135
0.0226,0.0018348923644399618,0.0009102299486800278,0.00037038799066640965
0.0228,0.0016382765654223924,0.0009079062514430793,0.00041879737462246445
0.023,0.001744901528433756,0.0007461182305357067,0.0003871353410466424
0.0232,0.0015884800301359937,0.001384452817411461,0.0004779056122829158
0.0234,0.0016804634775271772,0.000546609273236782,0.0004174127893970132
0.0236,0.0013331931136213325,0.0007023995347590062,0.00042252353610307877
0.0238,0.0013650991699719177,0.0005465244016528901,0.0003604357384524028
0.024,0.001112094049158422,0.0009441326204143515,0.0004886170336642586
0.0242,0.001894438126153019,0.0011184276512463075,0.0005485103065806185
0.0244,0.0013823740944529047,0.0009081810555773137,0.0004068857655328618
0.0246,0.0016420201692013397,0.000834707650634191,0.0005160856316184076
0.0248,0.0012690639350027924,0.0008071571320787228,0.00039363005244626983
0.025,0.0020304536379140846,0.0008799022174142913,0.00048229315171588867
0.0252,0.0012584848429224328,0.0009759449825119934,0.0004011462333351226
0.0254,0.001726996256820814,0.0011418767140754847,0.0004918355227123688
0.0256,0.000932857471664769,0.0010617798630429061,0.00033947432481959004
0.0258,0.0011827699533157477,0.0006849475712588027,0.0005259917037800815
0.026,0.0009790192843091064,0.0008406021680834163,0.0003893168544277431
0.0262,0.0012588564834581165,0.0008227346370323357,0.00047824534810096946
0.0264,0.0017996187771982441,0.000526282501213929,0.0005220392159097957
0.0266,0.0017357764742936528,0.0008516453735006148,0.00048119915957476906
0.0268,0.001572154579626437,0.0009804065814680593,0.00041355600911105976
0.027,0.0013413196419101573,0.0007313402895601207,0.00030334829679235593
0.0272,0.0016533155938444532,0.0009842258388106434,0.0006100379774146716
0.0274,0.001007084695127455,0.0008424613807507938,0.00032644685072108183
0.0276,0.0013735992401982544,0.0008692639622258059,0.0003421845580860891
0.0278,0.0011893450351242283,0.0010875505795916462,0.0003286986826363847
0.028,0.00211778906354203,0.0010079385337549087,0.000493921250026864
0.0282,0.001688747545259598,0.001017842929663191,0.0004562234141039724
0.0284,0.0015395278220734466,0.0006954797847616119,0.0005224210794850287
0.0286,0.0011459190677927196,0.0007495735387212617,0.0004456267973863367
0.0288,0.0013572900067056518,0.0007232631970051332,0.0005006436621999827
0.029,0.0013972405308165603,0.0014419576735340397,0.0005362417862690272
0.0292,0.0012538003623968968,0.0006839841664282325,0.0004342665872990357
0.0294,0.001387920550139075,0.0008179735360679353,0.0006495816641532444
0.0296,0.0007882967738822336,0.0007951126502827927,0.00039954992110382464
0.0298,0.0012507741708051336,0.0008112368132291229,0.0003904681543352665
0.03,0.0012001349107388238,0.0007418322205699284,0.0004931667303271249
0.0302,0.001496448243775121,0.0009852428825316917,0.0005809597025382825
0.0304,0.0013219723870788386,0.0007295775451582452,0.00037461578363387715
0.0306,0.0008138978427486243,0.001202840704752845,0.0005501745607650469
0.0308,0.0012156383654801652,0.0007591514540170133,0.0003686872642591193
0.031,0.0010152095234843691,0.0007108140007401716,0.0005540990987674072
0.0312,0.0010353882521969855,0.0011360237464079375,0.0004917086137382187
0.0314,0.0013769775812098807,0.0006150855102799207,0.0006199837498446432
0.0316,0.0013018236182292227,0.0008225573947241116,0.00047551550211401836
0.0318,0.0009150625042006973,0.0006702930785398484,0.0005053400002883073
0.032,0.0010968374277549916,0.0007574453326012943,0.0004143710623354046
0.0322,0.0013150678736093165,0.0010045399094691146,0.0005938614404984789
0.0324,0.001248976125855037,0.0010717270683058182,0.00042854253715995553
0.0326,0.0011276725318541483,0.0008787191311220359,0.0005216068155434049
0.0328,0.0012754666044669366,0.0010186386851484056,0.0005924933960038153
0.033,0.0013662364534743937,0.0009548520356334681,0.0004790950985611754
0.0332,0.0011697223464023992,0.0009749955385230742,0.0004407287858196601
0.0334,0.0011811812454956955,0.0008031425877788802,0.0005841022502714576
0.0336,0.0009624455200680572,0.0007528668914601112,0.00037913011110703995
0.0338,0.001389150605020391,0.0012325232385634508,0.0003929583405684943
0.034,0.0011770239600568844,0.0009185948711553031,0.0005644580480090004
0.0342,0.0009462050114607721,0.0009616539759956334,0.0005625120892572261
0.0344,0.0007876116415369975,0.001073571870916973,0.00043947356094517395
0.0346,0.0006730644136962241,0.000770319717922267,0.0004263826495069121
0.0348,0.0011021483320387418,0.000861834533828391,0.0005385877313136253
0.035,0.0011905318480876367,0.0008344793148989076,0.0005498955529471719
0.0352,0.0011755947600411653,0.0006441086783489261,0.0004741183864750097
0.0354,0.0015560155925110424,0.0010799865976412232,0.0006414224065319662
0.0356,0.0007112242408285109,0.000976695414869367,0.0004748591721076974
0.0358,0.0020553091507057577,0.0009685635748363144,0.0006094601500670093
0.036,0.0009116667536785407,0.0009616770471702055,0.000612131699170474
0.0362,0.0012548345944219557,0.0006700021650997887,0.0004271345785374658
0.0364,0.001571729905700249,0.0006500431327770762,0.0006214979819036758
0.0366,0.0012719211049276341,0.001238127069706814,0.0005734639760071171
0.0368,0.0009777963783687434,0.0006962330697485406,0.0003648933969275075
0.037,0.0009377818142456119,0.001405147299223377,0.0003668291126227021
0.0372,0.0009779200686275621,0.0010247680426202156,0.000588893791919332
0.0374,0.0010975873133200536,0.0011276404975720633,0.0003867544884793963
0.0376,0.0008670990329297151,0.0007761001255865933,0.00069464800549114
0.0378,0.0007791217095625171,0.0008741096051313639,0.0006122838702458353
