# Y/D TKEres TKEsgs TKEtot
-1.049999999999999378e+00 3.095722229325774677e-01 7.872924807509640646e-03 3.174451477400870858e-01
-1.000000000000000000e+00 3.213121713663659174e-01 8.186530705394426052e-03 3.294987020717603521e-01
-9.500000000000007327e-01 3.075978399561419829e-01 8.684724427122481050e-03 3.162825643832644640e-01
-9.000000000000014655e-01 3.033925946728286416e-01 9.310220565970871859e-03 3.127028152387995030e-01
-8.499999999999985345e-01 3.135276757687941451e-01 9.797169063052174262e-03 3.233248448318463142e-01
-7.999999999999992673e-01 3.222744075566671973e-01 9.775116761951431130e-03 3.320495243186186163e-01
-7.500000000000000000e-01 3.285466546246676445e-01 9.337912612939371429e-03 3.378845672376070142e-01
-7.000000000000007327e-01 3.365338514487485888e-01 9.294787064693660686e-03 3.458286385134422547e-01
-6.500000000000014655e-01 3.407612821126144165e-01 9.517333509579201101e-03 3.502786156221936453e-01
-5.999999999999985345e-01 3.354771697037712830e-01 9.570675349933452716e-03 3.450478450537047270e-01
-5.499999999999992673e-01 3.334163268534029445e-01 9.341915820441528198e-03 3.427582426738444710e-01
-5.000000000000000000e-01 3.314178223054199957e-01 9.255315457910778809e-03 3.406731377633307467e-01
-4.500000000000007327e-01 3.247327556957797512e-01 9.370855081523200500e-03 3.341036107773029395e-01
-4.000000000000014100e-01 3.060012876172336638e-01 9.583538933773349394e-03 3.155848265510070028e-01
-3.499999999999985900e-01 2.867181106335516261e-01 9.635501660902833637e-03 2.963536122944544493e-01
-2.999999999999992673e-01 2.800198668265365121e-01 9.571402762387562491e-03 2.895912695889240607e-01
-2.500000000000000000e-01 2.722475111922293411e-01 9.478644308846533029e-03 2.817261555010758811e-01
-2.000000000000007050e-01 2.599148890262816813e-01 9.316462047592828297e-03 2.692313510738745252e-01
-1.500000000000014377e-01 2.508964002230956725e-01 9.062809969210836383e-03 2.599592101923065002e-01
-9.999999999999856226e-02 2.482477063232897407e-01 8.799220076359946102e-03 2.570469263996497111e-01
-4.999999999999928113e-02 2.436886672703509060e-01 8.610015531582393064e-03 2.522986828019332939e-01
0.000000000000000000e+00 2.399899730218645888e-01 8.249560563819108988e-03 2.482395335856837082e-01
4.999999999999928113e-02 2.423619630994331697e-01 7.987937837849875058e-03 2.503499009372830431e-01
9.999999999999856226e-02 2.445595866595272339e-01 7.889810694418634279e-03 2.524493973539458924e-01
1.500000000000014377e-01 2.314682512644312129e-01 7.711057884528331983e-03 2.391793091489595457e-01
2.000000000000007050e-01 2.136544861642164506e-01 7.842275374927414749e-03 2.214967615391438549e-01
2.500000000000000000e-01 2.036793830647313230e-01 7.840284701716982579e-03 2.115196677664483160e-01
2.999999999999992673e-01 1.978186948184759153e-01 8.130987992966270950e-03 2.059496828114421862e-01
3.499999999999985900e-01 1.963555468635344581e-01 8.545872195986787059e-03 2.049014190595212503e-01
4.000000000000014100e-01 2.000275443157143451e-01 8.598663094636155996e-03 2.086262074103505115e-01
4.500000000000007327e-01 2.035859658711419717e-01 8.231018902362318215e-03 2.118169847735043021e-01
5.000000000000000000e-01 2.022302255978489782e-01 7.981144130809985152e-03 2.102113697286589755e-01
5.499999999999992673e-01 2.056051954434088280e-01 7.741718797066999939e-03 2.133469142404758323e-01
5.999999999999985345e-01 2.083461531798361799e-01 7.197766817668478471e-03 2.155439199975046627e-01
6.500000000000014655e-01 2.008108113764597857e-01 6.636032179627176890e-03 2.074468435560869739e-01
7.000000000000007327e-01 1.948265631555607946e-01 6.587082755558222938e-03 2.014136459111190158e-01
7.500000000000000000e-01 2.038644204590249476e-01 6.674777937292645201e-03 2.105391983963176006e-01
7.999999999999992673e-01 2.222856613101693024e-01 6.632933719476516270e-03 2.289185950296458161e-01
8.499999999999985345e-01 2.363698981800121945e-01 6.669946502015546702e-03 2.430398446820277447e-01
9.000000000000014655e-01 2.463364088098519145e-01 6.709148351683409672e-03 2.530455571615353172e-01
9.500000000000007327e-01 2.602749931820126372e-01 6.806032010462446068e-03 2.670810251924750633e-01
1.000000000000000000e+00 2.720532154780194167e-01 6.958280465753768733e-03 2.790114959437731690e-01
1.049999999999999378e+00 2.743283592912387769e-01 7.026741906197493323e-03 2.813551011974362859e-01
1.099999999999998535e+00 2.712606397426455818e-01 7.153160055333268770e-03 2.784137997979788670e-01
1.150000000000001465e+00 2.664804110307182339e-01 7.257521451519389870e-03 2.737379324822376003e-01
1.200000000000000622e+00 2.688492577665378969e-01 7.675349564679499921e-03 2.765246073312174202e-01
1.250000000000000000e+00 2.732471336907142945e-01 8.606194743971069816e-03 2.818533284346853574e-01
