#height[m], Uprec[m/s], Uturb[m/s], diff[m/s], plane_dist[D]
90.0, 10.037263056737485, 9.51511338870161, 0.5221496680358744, 0
100.0, 10.37301267683782, 9.835864513458066, 0.5371481633797544, 0
110.0, 10.696629286777407, 10.161267624538995, 0.5353616622384116, 0
120.0, 11.006127719395321, 10.498203773800881, 0.50792394559444, 0
130.0, 11.304526737600828, 10.841763907466719, 0.4627628301341087, 0
140.0, 11.592886023519009, 11.187191083957423, 0.4056949395615863, 0
150.0, 11.870771497531823, 11.53210701160472, 0.33866448592710263, 0
160.0, 12.138340686815898, 11.86778293632093, 0.27055775049496766, 0
170.0, 12.396606868765456, 12.185329141821066, 0.21127772694438995, 0
180.0, 12.642850853143262, 12.487566805962029, 0.15528404718123312, 0
190.0, 12.877140243732063, 12.768101891729879, 0.10903835200218381, 0
200.0, 13.102976496690008, 13.02941461766552, 0.07356187902448852, 0
210.0, 13.324431043222251, 13.2751897352181, 0.0492413080041505, 0
220.0, 13.538241613476316, 13.502644072239423, 0.03559754123689274, 0
230.0, 13.73979258818888, 13.715884886744139, 0.023907701444741747, 0
240.0, 13.935198983545797, 13.915789499077944, 0.019409484467853844, 0
250.0, 14.169009378017163, 14.149433780397894, 0.019575597619269303, 0
260.0, 14.375945848631668, 14.362671596246237, 0.013274252385430785, 0
270.0, 14.572829085790964, 14.564014785247268, 0.008814300543695808, 0
280.0, 14.73379615348653, 14.73256460372545, 0.0012315497610799753, 0
290.0, 14.901955696514975, 14.904320978409068, -0.0023652818940931297, 0
300.0, 15.064057688715266, 15.068479763306234, -0.004422074590967995, 0
310.0, 15.223943777680288, 15.231474756487119, -0.007530978806830291, 0
320.0, 15.383437597933906, 15.39309099221128, -0.00965339427737355, 0
330.0, 15.5337406950541, 15.54524642510949, -0.011505730055390018, 0
340.0, 15.687849462795855, 15.701335410147443, -0.013485947351588479, 0
350.0, 15.830532201929532, 15.847731675904264, -0.017199473974731205, 0
360.0, 15.974372796568359, 15.99393606359805, -0.01956326702969058, 0
370.0, 16.106369852910998, 16.12907829589134, -0.022708442980341914, 0
380.0, 16.241185434372053, 16.265488923335727, -0.024303488963674624, 0
390.0, 16.36779044144427, 16.393854862626046, -0.026064421181775543, 0
400.0, 16.493262214488045, 16.521372310291095, -0.028110095803050683, 0
