# name, x, y, type, yaw, hubheight, options
WAF1-0092-AF, 630471.010000, 4015598.870000, Summit_GE1.7-103, , ,
WAF1-0093-AF, 630739.080000, 4016059.950000, Summit_GE1.7-103, , ,
WAF1-0094-AF, 631140.010000, 4015866.090000, Summit_GE1.7-103, , ,
WAF1-0095-AF, 631562.770000, 4015801.900000, Summit_GE1.7-103, , ,
WAF1-0096-AF, 631979.090000, 4015780.940000, Summit_GE1.7-103, , ,
WAF1-0097-AF, 631169.010000, 4014899.950000, Summit_GE1.7-103, , ,
WAF1-0098-AF, 631608.440000, 4014858.030000, Summit_GE1.7-103, , ,
WAF1-0099-AF, 632183.060000, 4015284.870000, Summit_GE1.7-103, , ,
WAF1-0100-AF, 625652.940000, 4014351.800000, Summit_GE1.7-103, , ,
WAF1-0101-AF, 626108.870000, 4014350.930000, Summit_GE2.3-116, , ,
WAF1-0102-AF, 626480.140000, 4014025.860000, Summit_GE2.3-116, , ,
WAF1-0103-AF, 627614.940000, 4014222.830000, Summit_GE2.3-116, , ,
WAF1-0104-AF, 631982.010000, 4014478.240000, Summit_GE1.7-103, , ,
WAF1-0105-AF, 632454.760000, 4014547.900000, Summit_GE1.7-103, , ,
WAF1-0106-AF, 632842.070000, 4014056.430000, Summit_GE1.7-103, , ,
WAF1-0107-AF, 633173.930000, 4014476.820000, Summit_GE1.7-103, , ,
WAF1-0108-AF, 633551.950000, 4014780.740000, Summit_GE1.7-103, , ,
WAF1-0109-AF, 633864.390000, 4014938.420000, Summit_GE2.3-116, , ,
WAF1-0110-AF, 634106.010000, 4014195.930000, Summit_GE1.7-103, , ,
WAF1-0111-AF, 632672.930000, 4018893.000000, Summit_GE2.3-116, , ,
WAF1-0112-AF, 630764.790000, 4013532.880000, Summit_GE1.7-103, , ,
WAF1-0113-AF, 631181.890000, 4013280.110000, Summit_GE1.7-103, , ,
WAF1-0114-AF, 631535.820000, 4013633.900000, Summit_GE1.7-103, , ,
WAF1-0115-AF, 631996.000000, 4013335.890000, Summit_GE1.7-103, , ,
WAF1-0116-AF, 632393.070000, 4013253.870000, Summit_GE1.7-103, , ,
WAF1-0117-AF, 633729.000000, 4013348.160000, Summit_GE1.7-103, , ,
WAF1-0118-AF, 634045.840000, 4013476.900000, Summit_GE1.7-103, , ,
WAF1-0119-AF, 630725.900000, 4012389.180000, Summit_GE1.7-103, , ,
WAF1-0120-AF, 632940.450000, 4011705.020000, Summit_GE1.7-103, , ,
WAF1-0121-AF, 633720.110000, 4012033.010000, Summit_GE2.3-116, , ,
WAF1-0122-AF, 634125.870000, 4012036.300000, Summit_GE2.3-116, , ,
WAF1-0123-AF, 634421.920000, 4012539.770000, Summit_GE2.3-116, , ,
WAF1-0124-AF, 634815.920000, 4012566.160000, Summit_GE2.3-116, , ,
WAF1-0125-AF, 632917.710000, 4010840.040000, Summit_GE1.7-103, , ,
WAF1-0126-AF, 633268.190000, 4010842.950000, Summit_GE2.3-116, , ,
2014-WTW-8401-BR, 619669.950925, 4033885.567218, Summit_GE1.7-103, , ,
2014-WTW-8378-BR, 620574.732402, 4035460.369469, Summit_GE1.7-103, , ,
2014-WTW-8387-BR, 613412.904940, 4034076.354554, Summit_GE1.7-103, , ,
2015-WTW-3020-BR, 618890.874975, 4035029.944585, Summit_GE1.7-103, , ,
2015-WTW-3024-BR, 621276.391961, 4034039.994242, Summit_GE1.7-103, , ,
2015-WTW-3022-BR, 619263.890353, 4034909.375880, Summit_GE1.7-103, , ,
2014-WTW-8416-BR, 624849.162862, 4033864.517813, Summit_GE1.7-103, , ,
2014-WTW-8371-BR, 616868.123437, 4035434.837008, Summit_GE1.7-103, , ,
2015-WTW-3019-BR, 618475.144458, 4034978.521263, Summit_GE1.7-103, , ,
2014-WTW-8365-BR, 614120.453806, 4035445.921551, Summit_GE1.7-103, , ,
2014-WTW-8364-BR, 613647.375363, 4035645.830642, Summit_GE1.7-103, , ,
2015-WTW-3027-BR, 623011.922495, 4034688.865119, Summit_GE1.7-103, , ,
2014-WTW-8396-BR, 617749.103948, 4033058.000387, Summit_GE1.7-103, , ,
2014-WTW-8386-BR, 612993.909222, 4033796.598365, Summit_GE1.7-103, , ,
2015-WTW-3029-BR, 617405.445272, 4033277.227337, Summit_GE1.7-103, , ,
2015-WTW-3014-BR, 612095.155289, 4035647.959715, Summit_GE1.7-103, , ,
2014-WTW-8423-BR, 623301.273849, 4034921.556671, Summit_GE1.7-103, , ,
2015-WTW-3025-BR, 621594.075011, 4033971.228263, Summit_GE1.7-103, , ,
2015-WTW-3114-BR, 622808.537148, 4035426.262894, Summit_GE1.7-103, , ,
2014-WTW-8379-BR, 621038.173365, 4035373.316261, Summit_GE1.7-103, , ,
2015-WTW-3120-BR, 616739.060006, 4033291.502529, Summit_GE1.7-103, , ,
2014-WTW-8377-BR, 619618.483734, 4035129.638017, Summit_GE1.7-103, , ,
2014-WTW-8410-BR, 621460.518082, 4033204.545008, Summit_GE1.7-103, , ,
2015-WTW-3121-BR, 623086.140227, 4032643.028638, Summit_GE1.7-103, , ,
2015-WTW-3016-BR, 612866.663491, 4035686.853174, Summit_GE1.7-103, , ,
2015-WTW-3028-BR, 624146.832985, 4034377.888826, Summit_GE1.7-103, , ,
2015-WTW-3021-BR, 619165.971227, 4035613.908062, Summit_GE1.7-103, , ,
2015-WTW-3015-BR, 612467.399461, 4035679.426374, Summit_GE1.7-103, , ,
2014-WTW-8395-BR, 617521.786629, 4034333.961422, Summit_GE1.7-103, , ,
2014-WTW-8413-BR, 623259.780643, 4033324.434173, Summit_GE1.7-103, , ,
2014-WTW-8380-BR, 622013.478412, 4035168.234063, Summit_GE1.7-103, , ,
2014-WTW-8418-BR, 624438.011205, 4033866.133545, Summit_GE1.7-103, , ,
2014-WTW-8390-BR, 615207.522560, 4033402.987455, Summit_GE1.7-103, , ,
2014-WTW-8388-BR, 614247.413033, 4034066.154491, Summit_GE1.7-103, , ,
2014-WTW-8414-BR, 623671.102363, 4033306.231548, Summit_GE1.7-103, , ,
2014-WTW-8363-BR, 613265.356367, 4035628.497465, Summit_GE1.7-103, , ,
2014-WTW-8394-BR, 617259.133806, 4034129.792435, Summit_GE1.7-103, , ,
2014-WTW-8393-BR, 616926.277819, 4033912.366287, Summit_GE1.7-103, , ,
2014-WTW-8389-BR, 614846.296064, 4033358.349476, Summit_GE1.7-103, , ,
2014-WTW-8369-BR, 616207.926349, 4035661.259072, Summit_GE1.7-103, , ,
2014-WTW-8400-BR, 619283.538332, 4033784.584284, Summit_GE1.7-103, , ,
2014-WTW-8392-BR, 616565.258794, 4033907.489744, Summit_GE1.7-103, , ,
2014-WTW-8406-BR, 622517.852658, 4034807.557197, Summit_GE1.7-103, , ,
2014-WTW-8366-BR, 614874.300322, 4035061.926531, Summit_GE1.7-103, , ,
2015-WTW-3018-BR, 618054.767477, 4034912.630820, Summit_GE1.7-103, , ,
2015-WTW-3017-BR, 615662.101374, 4034804.933790, Summit_GE1.7-103, , ,
2015-WTW-3026-BR, 622150.465206, 4034088.363962, Summit_GE1.7-103, , ,
2015-WTW-3023-BR, 615921.996164, 4034039.746160, Summit_GE1.7-103, , ,
2014-WTW-8385-BR, 612589.150246, 4033419.746288, Summit_GE1.7-103, , ,
2014-WTW-8408-BR, 623655.287803, 4034317.582771, Summit_GE1.7-103, , ,
2014-WTW-8421-BR, 621582.671981, 4035558.711177, Summit_GE1.7-103, , ,
2014-WTW-8367-BR, 615271.862721, 4034937.298063, Summit_GE1.7-103, , ,
2014-WTW-8412-BR, 622836.819948, 4033341.714208, Summit_GE1.7-103, , ,
2014-WTW-8399-BR, 618897.651527, 4033592.645060, Summit_GE1.7-103, , ,
2014-WTW-8402-BR, 620962.836196, 4033865.507940, Summit_GE1.7-103, , ,
2014-WTW-8415-BR, 624069.535136, 4033330.470216, Summit_GE1.7-103, , ,
2014-WTW-8370-BR, 616523.313051, 4035548.675567, Summit_GE1.7-103, , ,
