# Y/D U V
2.900000000000024780e+00 6.264962122679059497e+00 0.000000000000000000e+00
2.950000000000025047e+00 6.264976551549525041e+00 0.000000000000000000e+00
3.000000000000024869e+00 6.264985547932512056e+00 0.000000000000000000e+00
3.050000000000025135e+00 6.264991180930850057e+00 0.000000000000000000e+00
3.100000000000025402e+00 6.264994691126396731e+00 0.000000000000000000e+00
3.150000000000025668e+00 6.264996847716674644e+00 0.000000000000000000e+00
3.200000000000025935e+00 6.264998133484686704e+00 0.000000000000000000e+00
3.250000000000025757e+00 6.264998907374366155e+00 0.000000000000000000e+00
3.300000000000026024e+00 6.264999365608677984e+00 0.000000000000000000e+00
3.350000000000026290e+00 6.264999639348785898e+00 0.000000000000000000e+00
3.400000000000026557e+00 6.264999794501636465e+00 0.000000000000000000e+00
3.450000000000026823e+00 6.264999885046345085e+00 0.000000000000000000e+00
3.500000000000026645e+00 6.264999935743433390e+00 0.000000000000000000e+00
3.550000000000026912e+00 6.264999964996752269e+00 0.000000000000000000e+00
3.600000000000027178e+00 6.264999980760632248e+00 0.000000000000000000e+00
3.650000000000027445e+00 6.264999989609992603e+00 0.000000000000000000e+00
3.700000000000027711e+00 6.264999994480538348e+00 0.000000000000000000e+00
3.750000000000027534e+00 6.264999997109336860e+00 0.000000000000000000e+00
3.800000000000027800e+00 6.264999998478569587e+00 0.000000000000000000e+00
3.850000000000028066e+00 6.264999999209086567e+00 0.000000000000000000e+00
3.900000000000028333e+00 6.264999999596203573e+00 0.000000000000000000e+00
3.950000000000028599e+00 6.264999999795854535e+00 0.000000000000000000e+00
4.000000000000028422e+00 6.264999999897320926e+00 0.000000000000000000e+00
