# Y/D U V
-5.000000000000013323e-01 6.264999999999999680e+00 0.000000000000000000e+00
-4.500000000000013989e-01 6.264999999999999680e+00 0.000000000000000000e+00
-4.000000000000014100e-01 6.264999999999999680e+00 0.000000000000000000e+00
-3.500000000000014766e-01 6.264999999999999680e+00 0.000000000000000000e+00
-3.000000000000015432e-01 6.168085057567735063e+00 0.000000000000000000e+00
-2.500000000000015543e-01 5.727983144708228558e+00 0.000000000000000000e+00
-2.000000000000016209e-01 5.112273820971724447e+00 0.000000000000000000e+00
-1.500000000000016598e-01 4.421854397832954753e+00 0.000000000000000000e+00
-1.000000000000016986e-01 3.650636754662173189e+00 0.000000000000000000e+00
-5.000000000000174444e-02 2.887021046038165117e+00 0.000000000000000000e+00
-1.790343901127811467e-15 2.190169649308447486e+00 0.000000000000000000e+00
4.999999999999838601e-02 1.612261823226521784e+00 0.000000000000000000e+00
9.999999999999811817e-02 1.219587734201918128e+00 0.000000000000000000e+00
1.499999999999978573e-01 1.555416089929486212e+00 0.000000000000000000e+00
1.999999999999980405e-01 2.052683089350666013e+00 0.000000000000000000e+00
2.499999999999981959e-01 2.613866106227796138e+00 0.000000000000000000e+00
2.999999999999979350e-01 3.198793384373283200e+00 0.000000000000000000e+00
3.499999999999976463e-01 3.768817746999884921e+00 0.000000000000000000e+00
3.999999999999978573e-01 4.295602523378670767e+00 0.000000000000000000e+00
4.499999999999980127e-01 4.759375253494773972e+00 0.000000000000000000e+00
4.999999999999977796e-01 5.149039759006880601e+00 0.000000000000000000e+00
5.499999999999974909e-01 5.462859957169700742e+00 0.000000000000000000e+00
5.999999999999976463e-01 5.706141640646960944e+00 0.000000000000000000e+00
6.499999999999978018e-01 5.887588819728241774e+00 0.000000000000000000e+00
6.999999999999976241e-01 6.018009354031144120e+00 0.000000000000000000e+00
7.499999999999973355e-01 6.108373427519367738e+00 0.000000000000000000e+00
7.999999999999974909e-01 6.168659827981595178e+00 0.000000000000000000e+00
