# z Uhoriz WDir T TKE TI_horiz
2.231421818181817969e+02 6.996579617821937269e+00 2.676638628153143600e+02 0.000000000000000000e+00 2.174064822868459201e-01 8.144766754337641468e-02
2.295152727272727020e+02 7.023352104063410373e+00 2.678161773540015247e+02 0.000000000000000000e+00 2.127001206669125177e-01 8.023313868657781789e-02
2.358883636363636356e+02 7.051982809849379308e+00 2.679668667923987186e+02 0.000000000000000000e+00 2.101910125940432972e-01 7.961319317752607594e-02
2.422614545454545407e+02 7.081104835607576753e+00 2.681008689083459444e+02 0.000000000000000000e+00 2.072729680659630425e-01 7.890447077556025923e-02
2.486345454545454459e+02 7.111652226554109113e+00 2.682123835143340216e+02 0.000000000000000000e+00 2.035719841672211650e-01 7.792573492421156489e-02
2.550076363636363510e+02 7.144677566350480014e+00 2.683325604204932802e+02 0.000000000000000000e+00 1.986496600073353880e-01 7.658284814888768888e-02
2.613807272727272561e+02 7.177497408404969192e+00 2.684484873915669141e+02 0.000000000000000000e+00 1.904203098745430589e-01 7.458703125422470881e-02
2.677538181818181897e+02 7.209779770433399904e+00 2.685603080677333878e+02 0.000000000000000000e+00 1.868852442612466969e-01 7.345900253078234410e-02
2.741269090909090664e+02 7.239307957316352571e+00 2.686683389120508991e+02 0.000000000000000000e+00 1.812729802061495976e-01 7.196421384820901601e-02
2.805000000000000000e+02 7.265770491436226663e+00 2.687682347696911620e+02 0.000000000000000000e+00 1.773187245347375152e-01 7.090638424350319269e-02
