# Y/D TKEres TKEsgs TKEtot
-5.000000000000000000e-01 2.837592237984188359e-01 1.003686861872606258e-02 2.937960924171448829e-01
-4.500000000000007327e-01 2.761547018071397464e-01 9.973250634482001137e-03 2.861279524416217579e-01
-4.000000000000014100e-01 2.644051721755517614e-01 9.780818286208808540e-03 2.741859904617605648e-01
-3.499999999999985900e-01 2.521811382372438626e-01 9.585838416443110202e-03 2.617669766536869780e-01
-2.999999999999992673e-01 2.464494421748996689e-01 9.657136426386022168e-03 2.561065786012857171e-01
-2.500000000000000000e-01 2.428196748000304717e-01 9.592833312180186478e-03 2.524125081122106651e-01
-2.000000000000007050e-01 2.388113676367391580e-01 9.499447613302292037e-03 2.483108152500414501e-01
-1.500000000000014377e-01 2.322574080955650266e-01 9.433362292469217938e-03 2.416907703880342428e-01
-9.999999999999856226e-02 2.244716500916743018e-01 9.431657089905896504e-03 2.339033071815802001e-01
-4.999999999999928113e-02 2.090231331465917108e-01 9.437769421854308796e-03 2.184609025684460248e-01
0.000000000000000000e+00 1.948384317369459828e-01 9.675935919408804389e-03 2.045143676563547785e-01
4.999999999999928113e-02 1.855548511965608993e-01 9.900240220601451424e-03 1.954550914171623577e-01
9.999999999999856226e-02 1.805624061773500322e-01 9.994008561722063366e-03 1.905564147390720886e-01
1.500000000000014377e-01 1.851659987659147466e-01 9.774253153466689117e-03 1.949402519193814409e-01
2.000000000000007050e-01 1.988203557801467569e-01 9.197030574638057759e-03 2.080173863547848112e-01
2.500000000000000000e-01 2.117821482953511081e-01 8.436235817834336972e-03 2.202183841131854503e-01
2.999999999999992673e-01 2.228030148951630762e-01 7.800963867945456126e-03 2.306039787631085358e-01
3.499999999999985900e-01 2.288491903908345948e-01 7.247849237970676803e-03 2.360970396288052664e-01
4.000000000000014100e-01 2.256335469225586865e-01 6.916744667155940579e-03 2.325502915897146305e-01
4.500000000000007327e-01 2.255036166259357655e-01 6.784277384362368338e-03 2.322878940102981460e-01
5.000000000000000000e-01 2.252960786480684152e-01 6.900686590850369125e-03 2.321967652389187731e-01
5.499999999999992673e-01 2.287883436763853695e-01 7.482786021402083182e-03 2.362711296977874631e-01
5.999999999999985345e-01 2.370870650242362931e-01 8.144702937586029839e-03 2.452317679618223334e-01
6.500000000000014655e-01 2.507580101879699486e-01 8.804033986326526701e-03 2.595620441742964579e-01
7.000000000000007327e-01 2.627286238963379428e-01 9.010870802561273332e-03 2.717394946988992421e-01
7.500000000000000000e-01 2.780146291823684113e-01 8.870687619301280760e-03 2.868853168016696764e-01
7.999999999999992673e-01 2.843833840615749842e-01 8.540594081434618040e-03 2.929239781430095779e-01
8.499999999999985345e-01 2.882964650480174806e-01 8.395258976388434574e-03 2.966917240244059117e-01
9.000000000000014655e-01 2.850479839380982705e-01 8.457371846675372160e-03 2.935053557847736583e-01
9.500000000000007327e-01 2.809651303377751486e-01 9.076509392937338883e-03 2.900416397307125083e-01
1.000000000000000000e+00 2.815206040943157850e-01 9.772587899450771790e-03 2.912931919937665759e-01
1.049999999999999378e+00 2.830323055567646739e-01 1.074510933142162894e-02 2.937774148881863168e-01
1.099999999999998535e+00 2.837156061256829176e-01 1.133560852946276752e-02 2.950512146551456660e-01
1.150000000000001465e+00 2.871888547400677227e-01 1.181154131202073396e-02 2.990003960520884463e-01
1.200000000000000622e+00 2.790716039302066909e-01 1.184794663892647752e-02 2.909195505691331562e-01
1.250000000000000000e+00 2.673696971161089175e-01 1.121051525644346965e-02 2.785802123725523716e-01
1.299999999999999378e+00 2.539598549487840917e-01 1.011732305758124804e-02 2.640771780063653207e-01
1.349999999999998535e+00 2.404677051212611993e-01 9.528207954628109544e-03 2.499959130758893089e-01
1.400000000000001465e+00 2.329160499381806859e-01 9.337426292240344136e-03 2.422534762304210387e-01
1.450000000000000622e+00 2.239177292944725672e-01 9.433834017142019024e-03 2.333515633116145793e-01
1.500000000000000000e+00 2.227070173103350981e-01 9.310151655938670584e-03 2.320171689662737791e-01
1.549999999999999378e+00 2.299664545630649981e-01 9.091567809767607186e-03 2.390580223728326070e-01
1.599999999999998535e+00 2.461935306302808768e-01 8.860649304050680422e-03 2.550541799343315486e-01
1.650000000000001465e+00 2.573202457751139205e-01 9.148252131522871533e-03 2.664684979066367920e-01
1.700000000000000622e+00 2.679258518646367992e-01 9.636187164033518590e-03 2.775620390286703265e-01
1.750000000000000000e+00 2.572297536187762024e-01 9.476875529827575098e-03 2.667066291486037688e-01
1.799999999999999378e+00 2.400083967716018785e-01 8.915092662350809077e-03 2.489234894339526771e-01
